Subsystem,Req_ID,Description,Verification_Method,Implemented_File,Test_File,Status
ACAS,ACAS-001,acas_node SHALL ser un nodo ROS2 independiente. Su lógica no SHALL importar ni depender del módulo daidalus_node.,"acas_node — proceso independiente, suscribe directamente NavigationState y TrafficIntruder.",src/acas_node/acas_node/acas_node.py,,PARTIAL
ACAS,ACAS-002,"La lógica de decisión SHALL implementarse con las 45 redes .nnet del prototipo HorizontalCAS, indexadas por tau (9 bins, 0-8s) y advisory previo (5 categorías).",PENDIENTE — integración .nnet.,,,GAP
ACAS,ACAS-003,El nodo SHALL cargar las 45 redes .nnet desde el directorio configurado en el parámetro nnet_dir al arrranque.,acas_node.py — _load_networks() en __init__.,,,GAP
ACAS,ACAS-004,"La selección de red SHALL usar: tau_bin = int(min(tau_s, 8)), prev_adv_idx = advisory_to_idx[prev_advisory].",acas_node.py — _select_network(). Cálculo de inputs (5 variables),,,GAP
ACAS,ACAS-005,"El nodo SHALL calcular: rho (dist. relativa m), theta (bearing relativo rad), psi (heading relativo rad), v_own (m/s), v_int (m/s) desde NavigationState + TrafficIntruder.",acas_node.py — _compute_inputs(). : ACAS XU,,,GAP
ACAS,ACAS-006,rho SHALL calcularse como sqrt((dNorth)²+(dEast)²) en metros.,acas_node.py — _compute_rho().,,,GAP
ACAS,ACAS-007,"theta SHALL calcularse como atan2(dEast, dNorth) - heading_own, normalizado [-π, π].",acas_node.py — _compute_theta().,,,GAP
ACAS,ACAS-008,"psi SHALL calcularse como heading_int - heading_own, normalizado en [-π, π].","acas_node.py — _compute_psi(). Advisories y categorías 5 categorías de output: COC, WL, WR, SL, SR con turn rates",,,GAP
ACAS,ACAS-009,"La red neuronal SHALL mapearse a: COC (0°/s), WL (-1.5°/s), WR (+1.5°/s), SL (-3.0°/s), SR (+3.0°/s).",acas_node.py — advisory_enum.,,,GAP
ACAS,ACAS-010,El advisory SHALL ser la categoría con la puntuación más alta en el vector de output de la red.,acas_node.py — np.argmax(network_output).,,,GAP
ACAS,ACAS-011,"Cuando rho > rho_activation_threshold o ra_active=False, el advisory SHALL ser COC.",TC-FDIR-006 — no false positives. acas_node COC default.,src/acas_node.py,src/mission_fsm/test/m6_fdir/test_fdir.py,PARTIAL
ACAS,ACAS-012,ra_active SHALL ser True si y solo si el advisory actual no es COC.,acas_node.py — ra_active = (advisory != COC). Coordinación y seguridad ra_active=True → publicar abort_command en,,,GAP
ACAS,ACAS-013,"Cuando ra_active=True, acas_node SHALL publicar abort_command=True.",acas_node.py — abort_command_pub.,,,GAP
ACAS,ACAS-014,"ACAS Xu SHALL activar ra_active solo cuando daidalus_alert_level >= 3, o en modo standalone si DAIDALUS no está disponible.",acas_node.py — activation_condition.,src/acas_node.py,,PARTIAL
ACAS,ACAS-015,"En modo standalone (sin DAIDALUS), ACAS SHALL activarse cuando rho < rho_standalone_m.",acas_node.py — standalone_activation.,,,GAP
ACAS,ACAS-016,"Antes de publicar un advisory activo, SHALL verificarse que el turn_rate requerido es ejecutable por la plataforma actual.",acas_node.py — vehicle_model.is_feasible(turn_rate).,,,GAP
ACAS,ACAS-017,Un advisory activo SHALL mantenerse durante al menos advisory_hold_s antes de poder cambiar a COC.,"acas_node.py — advisory_hold_timer. Publicación y mensajes : ACAS XU ACASAdvisory.msg publicado en /acas/advisory a ≥ 10 Hz, QoS",,,GAP
